CODIGO,nombre,CAtaGORIA,altitud,latitud,longitud,MUNICIPIO,SUBZONA_HI
22060100,PIEDRAS DE COBRE [22060100],Pluviometrica,3594,3.90827778,-75.10333333,Saldana,Bajo Saldana
22060090,OLAYA HERRERA [22060090],Pluviometrica,450,3.81541667,-75.33005556,Ortega,"Rio Tetuan, R?o Ortega"
22045020,LIMON EL [22045020],Climatica Ordinaria,130,3.65183333,-75.58419444,Chaparral,Rio Amoya
22020060,RIOCLARO [22020060],Pluviometrica,2326,3.05333333,-75.64191667,Planadas,Rio Ata
22045010,DEMOSTRACION GRANJA - AUT [22045010],Climatica Ordinaria,908,3.72244444,-75.50344444,Chaparral,"Rio Tetuan, R?o Ortega"
22055020,MESA DE POLE [22055020],Climatica Ordinaria,699,3.45577778,-75.53636111,Ataco,Medio Saldana
22020070,CONDOR EL [22020070],Pluviometrica,755,3.32816667,-75.61305556,Ataco,Rio Ata
22020050,SANTIAGO PEREZ [22020050],Pluviometrica,732,3.39522222,-75.6045,Ataco,Rio Ata
22020030,GAITANIA [22020030],Pluviometrica,1476,3.092,-75.67402778,Planadas,Rio Ata
22020020,PENA RICA [22020020],Pluviometrica,1793,3.04505556,-75.76177778,Planadas,Rio Ata
22075050,PARAMO DE YERBABUENA - AUT [22075050],Climatica Principal,3394,4.07580556,-75.70083333,Roncesvalles,Rio Cucuana
22065040,SAN ANTONIO QUINTA [22065040],Climatica Principal,1448,3.90691667,-75.48808333,San Antonio,"Rio Tetuan, R?o Ortega"
21185030,GUAMO [21185030],Climatica Principal,332,4.00883333,-74.98138889,Guamo,Bajo Saldana
21180120,LORENA LA HACIENDA [21180120],Pluviometrica,450,4.02916667,-75.10555556,San Luis (Tolima),Rio Cucuana
22050060,SAN JOSE D HERMOSA [22050060],Pluviometrica,215,3.90352778,-75.69316667,Chaparral,Rio Amoya
22050040,ATACO [22050040],Pluviometrica,468,3.92805556,-75.37916667,Ataco,"Rio Tetuan, R?o Ortega"
22060110,GUAINI [22060110],Pluviometrica,746,3.71772222,-75.42355556,Chaparral,Rio Amoya
22060080,PANDO EL [22060080],Pluviometrica,976,3.76638889,-75.54855556,Chaparral,Rio Amoya
21135020,JABALCON [21135020],Climatica Ordinaria,332,3.85583333,-75.01572222,Saldana,"Rio Aipe, Rio Chenche y otros directos al Magdalena"
21130180,ALTAMIRA DC HACIENDA [21130180],Pluviometrica,500,3.45361111,-75.15088889,Natagaima,"Rio Aipe, Rio Chenche y otros directos al Magdalena"
22050030,COLACHE HACIENDA [22050030],Pluviometrica,384,3.79547222,-75.19563889,Coyaima,Bajo Saldana
21135030,ANCHIQUE [21135030],Climatica Ordinaria,415,3.57383333,-75.109,Natagaima,"Rio Aipe, Rio Chenche y otros directos al Magdalena"
22050080,PAN DE AZUCAR [22050080],Pluviometrica,1800,3.37952778,-75.50813889,Ataco,"Rio Aipe, Rio Chenche y otros directos al Magdalena"
22050070,SAN PEDRO [22050070],Pluviometrica,1679,3.42638889,-75.48744444,Ataco,Medio Saldana
22010070,GAITAN [22010070],Pluviometrica,1568,3.57680556,-75.74261111,Rioblanco,Alto Saldana
22010010,HERRERA [22010010],Pluviometrica,1620,3.28783333,-75.81541667,Rioblanco,Alto Saldana
22075030,RIOMANSO [22075030],Climatica Ordinaria,253,4.20677778,-75.41558333,Rovira,Rio Cucuana
22020040,CASA DE ZINC [22020040],Pluviometrica,1737,3.28580556,-75.5875,Ataco,Medio Saldana
22070030,SANTA HELENA [22070030],Pluviometrica,2606,4.12455556,-75.49952778,Roncesvalles,Rio Cucuana
22015020,RELATOR [22015020],Climatica Ordinaria,1160,3.52913889,-75.63141667,Rioblanco,Alto Saldana
22060070,ORTEGA [22060070],Pluviometrica,388,3.93916667,-75.21994444,Ortega,"Rio Tetuan, R?o Ortega"
22050090,MOLINO MURRA [22050090],Pluviometrica,324,3.92313889,-75.02119444,Saldana,Bajo Saldana
2202500051,PLANADAS - AUT   [2202500051],Clim?tica Principal,1300,3.2058,-75.6542,Planadas,Rio Ata
