fecha,21130180,21135020,21135030,21185030,22010010,22010070,2201500047,22015020,22020020,22020030,22020040,22020050,22020060,22020070,2202500051,22045020,22050030,22050060,22050070,22050080,22050090,22055020,22060080,22060100,22060110
01-01-50,,,,,,,,,,,,,,,,,,,,,,,,,
02-01-50,,,,,,,,,,,,,,,,,,,,,,,,,
03-01-50,,,,,,,,,,,,,,,,,,,,,,,,,
04-01-50,,,,,,,,,,,,,,,,,,,,,,,,,
05-01-50,,,,,,,,,,,,,,,,,,,,,,,,,
06-01-50,,,,,,,,,,,,,,,,,,,,,,,,,
07-01-50,,,,,,,,,,,,,,,,,,,,,,,,,
08-01-50,,,,,,,,,,,,,,,,,,,,,,,,,
09-01-50,,,,,,,,,,,,,,,,,,,,,,,,,
10-01-50,,,,,,,,,,,,,,,,,,,,,,,,,
11-01-50,,,,,,,,,,,,,,,,,,,,,,,,,
12-01-50,,,,,,,,,,,,,,,,,,,,,,,,,
13-01-50,,,,,,,,,,,,,,,,,,,,,,,,,
14-01-50,,,,,,,,,,,,,,,,,,,,,,,,,
15-01-50,,,,,,,,,,,,,,,,,,,,,,,,,
16-01-50,,,,,,,,,,,,,,,,,,,,,,,,,
17-01-50,,,,,,,,,,,,,,,,,,,,,,,,,
18-01-50,,,,,,,,,,,,,,,,,,,,,,,,,
19-01-50,,,,,,,,,,,,,,,,,,,,,,,,,
20-01-50,,,,,,,,,,,,,,,,,,,,,,,,,
21-01-50,,,,,,,,,,,,,,,,,,,,,,,,,
22-01-50,,,,,,,,,,,,,,,,,,,,,,,,,
23-01-50,,,,,,,,,,,,,,,,,,,,,,,,,
24-01-50,,,,,,,,,,,,,,,,,,,,,,,,,
25-01-50,,,,,,,,,,,,,,,,,,,,,,,,,
26-01-50,,,,,,,,,,,,,,,,,,,,,,,,,
27-01-50,,,,,,,,,,,,,,,,,,,,,,,,,
28-01-50,,,,,,,,,,,,,,,,,,,,,,,,,
29-01-50,,,,,,,,,,,,,,,,,,,,,,,,,
30-01-50,,,,,,,,,,,,,,,,,,,,,,,,,
31-01-50,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-50,,,,,,,,,,,,,,,,,,,,,,,,,
02-02-50,,,,,,,,,,,,,,,,,,,,,,,,,
03-02-50,,,,,,,,,,,,,,,,,,,,,,,,,
04-02-50,,,,,,,,,,,,,,,,,,,,,,,,,
05-02-50,,,,,,,,,,,,,,,,,,,,,,,,,
06-02-50,,,,,,,,,,,,,,,,,,,,,,,,,
07-02-50,,,,,,,,,,,,,,,,,,,,,,,,,
08-02-50,,,,,,,,,,,,,,,,,,,,,,,,,
09-02-50,,,,,,,,,,,,,,,,,,,,,,,,,
10-02-50,,,,,,,,,,,,,,,,,,,,,,,,,
11-02-50,,,,,,,,,,,,,,,,,,,,,,,,,
12-02-50,,,,,,,,,,,,,,,,,,,,,,,,,
13-02-50,,,,,,,,,,,,,,,,,,,,,,,,,
14-02-50,,,,,,,,,,,,,,,,,,,,,,,,,
15-02-50,,,,,,,,,,,,,,,,,,,,,,,,,
16-02-50,,,,,,,,,,,,,,,,,,,,,,,,,
17-02-50,,,,,,,,,,,,,,,,,,,,,,,,,
18-02-50,,,,,,,,,,,,,,,,,,,,,,,,,
19-02-50,,,,,,,,,,,,,,,,,,,,,,,,,
20-02-50,,,,,,,,,,,,,,,,,,,,,,,,,
