CODIGO,altitud,latitud,longitud
22060090,450,3.81541667,-75.33005556
22060070,388,3.93916667,-75.21994444
22050090,324,3.92313889,-75.02119444
22050030,384,3.79547222,-75.19563889
22015020,1160,3.52913889,-75.63141667
2202500051,1300,3.2058,-75.6542
21135030,415,3.57383333,-75.109
21135020,332,3.85583333,-75.01572222
22050060,215,3.90352778,-75.69316667
22050040,468,3.92805556,-75.37916667
22055020,699,3.45577778,-75.53636111
22045020,130,3.65183333,-75.58419444
22045010,908,3.72244444,-75.50344444
22070010,2581,4.00663889,-75.60775
22060110,746,3.71772222,-75.42355556
22060080,976,3.76638889,-75.54855556
22075030,253,4.20677778,-75.41558333
22070030,2606,4.12455556,-75.49952778
21185030,332,4.00883333,-74.98138889
22065040,1448,3.90691667,-75.48808333
