fecha,K11-N3.85E-75.15,I12-N3.65E-75.05,I11-N3.65E-75.15,J11-N3.75E-75.15,L12-N3.95E-75.05,K13-N3.85E-74.95,J12-N3.75E-75.05,K12-N3.85E-75.05,G10-N3.45E-75.25,H10-N3.55E-75.25,G8-N3.45E-75.45,G9-N3.45E-75.35,G11-N3.45E-75.15,H11-N3.55E-75.15,I10-N3.65E-75.25,J10-N3.75E-75.25,F4-N3.35E-75.85,G4-N3.45E-75.85,D4-N3.15E-75.85,E4-N3.25E-75.85,E5-N3.25E-75.75,F5-N3.35E-75.75,H4-N3.55E-75.85,D5-N3.15E-75.75,F2-N3.35E-76.05,D3-N3.15E-75.95,L13-N3.95E-74.95,D2-N3.15E-76.05,G3-N3.45E-75.95,H3-N3.55E-75.95,E3-N3.25E-75.95,F3-N3.35E-75.95,I5-N3.65E-75.75,J5-N3.75E-75.75,I4-N3.65E-75.85,J4-N3.75E-75.85,C2-N3.05E-76.05,B3-N2.95E-75.95,I6-N3.65E-75.65,J6-N3.75E-75.65,D6-N3.15E-75.65,E6-N3.25E-75.65,G5-N3.45E-75.75,H5-N3.55E-75.75,H6-N3.55E-75.65,I3-N3.65E-75.95,F6-N3.35E-75.65,G6-N3.45E-75.65,H8-N3.55E-75.45,I8-N3.65E-75.45,H7-N3.55E-75.55,I7-N3.65E-75.55,K4-N3.85E-75.85,K5-N3.85E-75.75,H9-N3.55E-75.35,I9-N3.65E-75.35,C4-N3.05E-75.85,B5-N2.95E-75.75,C3-N3.05E-75.95,B4-N2.95E-75.85,F7-N3.35E-75.55,G7-N3.45E-75.55,C5-N3.05E-75.75,C6-N3.05E-75.65,L6-N3.95E-75.65,J7-N3.75E-75.55,L5-N3.95E-75.75,K6-N3.85E-75.65,M12-N4.05E-75.05
2000-06-01,1.06727,1.39831,1.29778,0.130803,2.85047,0.755269,0.0853054,2.86292,0.930106,0.876019,0.2672,0.986671,1.75781,0.841157,0.00552105,0.255069,4.98182,7.27637,5.85289,0.294625,1.04884,1.92136,6.05648,2.95712,2.15829,0.788472,2.82721,0.796082,4.505,5.39636,0.334278,1.23147,5.34969,2.72426,2.7063,2.65131,1.75329,2.82922,3.51635,2.45917,5.10117,1.00363,4.80349,8.78907,2.50003,2.45117,0.573761,1.5439,0.618845,0.312008,2.06544,2.7103,2.93895,4.28089,0.834945,0.0542346,1.83581,2.59004,1.63016,1.71935,0.534294,1.06963,4.50102,0.559443,6.38972,1.57478,5.99967,3.49773,5.63277
2000-06-02,0.0,0.0,0.0,0.0,0.0,0.00815328,0.703529,0.0,0.669094,0.116622,0.397075,0.469778,0.492276,0.0925458,0.0,0.0,5.74165,2.84595,5.86965,3.93927,2.41159,2.25729,1.83963,0.251145,2.80885,5.34403,0.0379547,4.47117,0.812276,0.285327,6.47363,4.13558,3.37486,1.29779,0.710757,2.12857,3.20876,0.377531,2.53858,1.6979,1.45555,1.45293,0.850263,1.83938,0.0824522,2.58483,1.14277,0.517048,0.0809958,0.0,0.028227,0.00313173,2.68863,2.62705,0.0636822,0.0,1.2453,0.0247586,2.65362,0.117336,0.387069,0.202897,0.483009,0.642003,4.72979,0.0215837,2.80673,0.761506,0.0
2000-06-03,0.0,0.0,0.0,0.0,0.0517534,0.000144798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000995843,0.188406,1.53094,3.61435,0.448859,0.106622,3.39818,1.01477,5.03043,2.28026,1.70598,0.0574656,1.2992,0.334579,0.0707402,3.33227,1.62753,0.302668,0.261101,0.187878,1.81982,1.25469,2.53715,0.0198155,0.137409,1.23835,0.106423,0.00176733,0.0243759,0.00330255,2.01001,0.0,0.0,0.0,0.0,0.0,0.0,1.17231,1.22486,0.0,0.0,0.722851,1.02479,1.66962,2.51018,0.0,0.134611,0.70019,1.14529,0.460536,0.0166218,1.63842,0.402206,0.415449
2000-06-04,3.80127,6.16239,5.60399,4.7264,7.78798,5.62813,5.70602,3.43556,3.57203,2.23547,5.20587,5.29263,4.68746,4.72002,3.76784,1.93927,8.2128,6.29116,16.9906,6.37114,12.8049,9.61104,10.2554,16.8703,5.45844,4.46308,17.3803,5.16864,8.08719,8.89694,4.0953,6.23688,6.4791,7.324,8.49688,31.5671,6.17003,9.16707,18.0409,17.1493,12.1071,13.2852,4.91299,5.61804,5.53647,16.2182,6.41012,5.27447,3.16057,5.07604,3.58949,5.60169,36.4355,13.7723,1.89778,1.30872,10.2727,12.7516,5.47374,6.64944,7.75462,5.61889,10.2992,10.3204,5.94152,7.66898,6.04494,17.318,13.05
2000-06-05,0.0496285,0.99359,1.71971,0.792513,0.3954,0.639867,0.315994,0.0762762,1.23822,2.08121,2.37012,1.58821,1.1349,1.61973,2.11414,0.771128,5.10245,4.96117,4.48834,4.29673,2.13634,2.69915,4.28497,2.11723,14.4951,2.29203,0.559875,11.3941,3.95511,5.11861,2.46443,3.49091,6.89722,5.73869,7.65282,7.68602,11.0056,3.01447,6.81439,4.66234,2.10069,2.45298,4.0203,4.16959,6.63259,8.59816,2.26496,3.96779,2.57394,3.60664,1.89977,3.3964,11.8236,6.38091,2.18612,2.57321,1.52991,1.87317,1.66503,1.7435,1.66998,1.72167,1.40306,2.44559,6.19799,2.14774,12.2345,6.12218,2.05855
2000-06-06,0.0,0.0,0.0,0.0693642,0.0,0.0,0.0,0.0,0.0,0.0,0.110665,0.0104897,0.0,0.0,0.0,0.0,0.917162,0.931713,0.521555,0.0283762,0.555027,0.625801,2.26855,0.0,0.127519,0.0,0.0,0.0365122,2.39805,0.548414,0.0,1.95008,3.69052,4.57706,4.28421,3.46565,0.255063,0.00402164,4.25246,7.12986,0.0,0.0183493,1.12037,1.92204,1.76577,2.70156,0.140605,0.563061,0.702621,1.44252,1.86414,3.17111,4.87981,5.46238,0.0677908,0.158304,0.521468,0.293942,0.0,0.0,0.0493887,0.390125,0.0,0.0,6.80469,4.85337,5.89753,7.34742,0.0
2000-06-07,13.809,7.31578,8.44624,13.3044,19.2217,13.1611,9.33862,14.0673,2.35524,6.08064,2.22577,4.20755,2.53024,6.4968,7.38388,11.9633,5.84636,11.4907,6.11466,2.59131,6.07109,2.6261,15.8777,13.7194,4.45152,3.91719,17.5227,3.09549,13.9191,0.139351,3.62622,6.1906,4.151,1.91808,6.70697,4.28244,2.28525,0.565543,2.34771,1.5241,12.5828,12.7697,2.85444,7.20084,3.06679,5.01332,10.8176,5.02059,3.16896,2.94021,2.21646,1.99652,9.59995,8.86968,3.94102,4.32428,6.88786,2.82881,1.29817,0.725446,14.2272,2.04044,4.7133,6.93401,11.7776,1.63682,10.622,8.06542,24.4273
2000-06-08,27.1321,24.8743,23.5895,27.242,26.2237,31.5443,27.0081,31.5845,37.5873,31.2321,15.9646,38.3745,32.6464,28.8211,27.0274,26.113,3.99536,2.48506,4.02113,4.70867,4.60025,2.78532,2.37381,4.88259,17.674,5.55498,24.2689,11.3708,4.53748,7.54033,5.87875,8.76109,4.15019,2.59258,6.59052,3.97888,10.1506,5.62979,2.57936,3.69384,3.7138,5.26207,1.8647,1.67268,2.07587,6.43607,4.02983,2.49058,15.2255,15.6288,6.51133,8.97932,0.434296,1.73727,24.5727,23.3643,5.03739,1.42446,4.26901,2.76411,10.6378,7.809,3.23161,1.9798,2.32633,9.19647,3.65713,2.63521,21.184
2000-06-09,11.0401,3.06837,4.57028,10.9977,7.66381,3.1032,7.24771,6.8548,0.143104,0.820837,0.429061,0.319718,0.175957,1.24578,5.62428,12.9336,1.31024,3.27597,3.54861,1.66644,1.29322,1.23114,8.01805,3.00151,7.567,4.54038,3.72549,7.92833,2.29152,7.35579,2.0175,1.08406,5.96019,5.82685,6.92991,7.14106,3.96302,0.695995,3.75412,7.49283,0.900688,0.637525,3.47858,7.13625,3.8716,6.60047,0.947085,2.58065,1.52207,5.26418,3.11914,5.29733,11.6772,7.81196,0.891926,5.9537,3.69516,0.751744,3.6912,7.09823,0.0662171,0.597216,2.9067,1.14125,10.514,12.1972,12.7779,9.404,8.02175
2000-06-10,9.47841,6.27298,5.08899,8.36455,5.43888,3.97524,8.99828,7.62487,0.255325,0.980217,1.32882,0.88748,0.219808,1.87677,3.89448,6.41686,0.985262,0.998492,1.75863,1.12247,1.00396,0.655707,1.1689,1.85779,4.95815,3.56034,1.48579,5.60247,0.64411,6.87646,1.24006,1.09528,1.45808,3.48512,1.60588,2.46066,4.21111,3.40678,0.812061,1.58003,1.9198,0.246128,1.27409,0.871787,0.412484,1.70936,0.208812,0.206106,1.07753,1.69174,0.74183,0.880664,4.21074,3.77578,1.11761,2.91312,2.9734,3.41853,4.19434,3.15973,0.401958,0.942979,2.43163,3.41023,3.28369,2.73679,5.07272,3.19046,2.22091
