fecha,2.95N-75.75E,2.95N-75.85E,2.95N-75.95E,3.05N-75.65E,3.05N-75.75E,3.05N-75.85E,3.05N-75.95E,3.05N-76.05E,3.15N-75.65E,3.15N-75.75E,3.15N-75.85E,3.15N-75.95E,3.15N-76.05E,3.25N-75.65E,3.25N-75.75E,3.25N-75.85E,3.25N-75.95E,3.35N-75.25E,3.35N-75.45E,3.35N-75.55E,3.35N-75.65E,3.35N-75.75E,3.35N-75.85E,3.35N-75.95E,3.35N-76.05E,3.45N-75.15E,3.45N-75.25E,3.45N-75.35E,3.45N-75.45E,3.45N-75.55E,3.45N-75.5E,3.45N-75.65E,3.45N-75.75E,3.45N-75.85E,3.45N-75.95E,3.55N-75.15E,3.55N-75.25E,3.55N-75.35E,3.55N-75.45E,3.55N-75.55E,3.55N-75.65E,3.55N-75.75E,3.55N-75.85E,3.55N-75.95E,3.65N-75.05E,3.65N-75.15E,3.65N-75.25E,3.65N-75.35E,3.65N-75.45E,3.65N-75.55E,3.65N-75.65E,3.65N-75.75E,3.65N-75.85E,3.65N-75.95E,3.75N-75.05E,3.75N-75.15E,3.75N-75.25E,3.75N-75.55E,3.75N-75.65E,3.75N-75.75E,3.75N-75.85E,3.85N-74.95E,3.85N-75.05E,3.85N-75.15E,3.85N-75.65E,3.85N-75.75E,3.85N-75.85E,3.95N-74.95E,3.95N-75.05E,3.95N-75.65E,3.95N-75.75E,4.05N-75.05E
24-02-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-02-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-02-00,,,,,,,,,,,,,,29.65,30.03,,28.41,,,,,,,,,,,,,,,,,,,,26.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-02-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-02-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-02-00,,,28.15,,,,,,,,,,,,,29.47,,,,,,,,,,,,,,,,,,,,,,,,,,,29.67,,,,19.05,,,26.99,,,,,,,,,,,,,,,,,,,,,,
01-03-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.53,,21.91,23.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.69,18.69,-6.91,3.37,,,,,,,,
02-03-00,,,,,11.87,10.87,5.85,5.55,,,,,,,,,,,,,,14.43,15.97,12.97,14.57,,20.03,,,,,,,,,,,,,,,,,,,,,,,,,27.41,,,,,,,,,,,,,,,,,,27.15,,
03-03-00,,,26.11,,2.27,9.8,5.49,7.83,19.57,23.52,28.13,25.92,24.32,27.47,28.51,,,,,4.15,22.76,24.27,20.65,19.7,19.79,26.15,19.69,18.42,25.31,26.23,23.99,27.6,27.38,25.38,23.62,32.99,19.31,30.83,31.33,31.35,28.69,29.21,27.21,,,,21.29,19.69,22.37,28.19,21.79,22.71,25.72,24.46,27.29,26.8,29.91,25.89,25.16,30.65,21.05,16.83,6.39,0.35,,,,28.79,27.61,25.47,23.3,
04-03-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-03-00,19.33,16.43,17.27,15.41,13.66,13.31,,5.51,24.31,,,,,,18.13,20.67,,,,10.45,17.15,20.33,17.81,14.09,,,22.21,22.11,21.51,,27.11,,,,,,,,,,,,,,,,,,,,19.55,,,23.8,,29.29,28.97,,,20.99,,,,,16.57,,,,,,,
06-03-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-03-00,,,,,7.21,,,,,,,,,,,,,,8.95,9.49,13.45,,,18.13,16.93,,,,22.27,,21.95,,,,,,,,,,,,,,,,,,16.23,,,,,,,,,,,,,,,,,,14.77,,,,,
08-03-00,13.59,15.41,15.35,,,,,,18.47,17.15,,,,,,29.83,26.09,,,,,,,,,,,,,,,,,,26.11,,20.65,27.39,26.73,25.13,,20.17,19.83,,,,,,,,,,,,,,,,,,,,9.97,17.23,,,,,,,,
09-03-00,29.91,28.01,28.23,10.53,13.93,12.97,6.45,5.65,26.03,,,30.51,31.37,31.21,27.87,,,,9.73,4.25,17.27,21.4,17.39,17.75,26.15,26.15,13.69,16.41,,27.69,25.09,37.43,34.41,30.97,31.67,33.01,32.59,34.23,33.49,31.81,30.23,28.67,,,,,,,,18.67,7.89,16.27,21.48,18.33,19.07,15.01,,32.39,30.51,26.27,30.73,18.35,8.59,5.85,26.11,14.54,,,26.47,20.64,16.33,10.97
10-03-00,,19.45,19.07,,7.89,14.68,,8.99,28.13,21.11,21.33,24.53,20.97,24.27,23.99,21.29,21.79,,,20.35,25.89,27.61,,20.63,23.31,23.31,25.69,26.81,25.46,29.75,25.79,29.43,30.87,24.45,25.94,27.14,27.61,26.27,24.41,24.55,22.27,22.87,22.57,,12.81,,,,22.23,26.15,25.29,26.09,28.15,28.93,29.75,28.97,,26.2,25.18,31.21,25.1,16.25,15.63,17.39,16.41,16.01,17.81,25.08,28.49,25.85,26.23,
11-03-00,,,27.65,26.43,22.17,13.91,,6.83,,,,,,31.93,33.83,30.35,28.83,17.61,21.11,23.33,30.59,32.11,26.35,,,26.83,,28.97,29.69,,,,,,,32.19,32.57,,,,28.11,29.17,28.13,18.01,16.23,,21.89,23.95,28.59,29.45,29.59,28.01,30.59,25.99,27.35,,,,,,,,,,,23.23,,,,,29.13,
12-03-00,,,,,,,-2.19,4.55,20.43,20.93,22.31,21.91,21.03,19.89,15.11,24.34,,-6.55,,,,,,,,,,,,22.85,22.21,24.85,26.01,24.57,28.56,28.5,28,28.52,28.23,26.38,26.16,24.82,28.57,,,,,,,,,20.17,22.11,23.67,24.15,24.33,23.91,24.79,23.41,27.83,25.62,18.21,16.15,15.51,23.71,10.73,,,,,21.59,26.19
13-03-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
